Ability,Tier,Type,Cost,Rules,Domains
Forge Weapon,II,Major Action,1 PotD,Instantly repair or create one mundane weapon or tool from nearby raw materials matching the right value and type. Items are forged as standard quality.,"Craft, Metal, Creation, Earth, Fire, Civilization"
Earthshaker,II,Major Action,1 PotD,Slam the ground. Every creature within 5m radius of you is pushed 10m away and must succeed on a Dexterity Saving Throw or become Prone and the ground around you becomes difficult terrain,"Earth, Strength, Destruction, Ruin, Chaos"
Wind Step,II,Minor Action,1 PotD,"Until the end of your next short or long rest, your movement ignores difficult terrain and you may move across water or vertical surfaces provided you do not end your turn there.","Air, Sky, Travel, Freedom, Water"
Riposte Master,II,Reaction,1 PotD,"When a melee attack against you misses, immediately make one Attack Roll against that creature. This attack follows all normal weapon rules.","War, Valor, Balance, Strength, Vengeance"
Brace for Impact,II,Reaction,—,"When an ally within 2 metres would take damage, move adjacent to them and both of you gain the benefits of the Brace action until the attack resolves.","Protection, Earth, Strength, Valor, Hearth"
Battlefield Commander,II,Minor Action,1 PotD,Choose one ally that can hear you. They may immediately move up to half their movement without provoking weapon range attacks.,"War, Nobility, Order, Law, Civilization"
Predator's Pounce,II,Major Action,1 PotD,"Move your full movement in a straight line before making an attack. If you hit, increase the Damage Table result by +3.","Hunt, Beasts, Wilderness, Strength, Blood, Passion"
Sundering Blow,II,Free (On Hit),2 PotD,"When you successfully hit with a melee weapon, you can enact the stagger effect on enemies and push them 5 meters back if they fail a strength saving throw.","Metal, Strength, Destruction, War, Ruin"
Deflect Missile,II,Reaction,1 PotD,"When targeted by a ranged weapon attack, reduce the attack margin by 3 before resolving the Damage Table. If this does no damage, catch the projectile if it is able to be realistically caught.","Air, Balance, Protection, Sky, Metal, Freedom"
Unstoppable Charge,II,Major Action,2 PotD,"Move at least 5 metres directly toward a creature before attacking. If you hit, the target is automatically Pushed 2 metres and Tripped.","Strength, War, Wrath, Valor, Zeal, Vengeance"
Echoing Strike,II,Free,1 PotD,"After hitting a creature, choose another creature within 2 metres of the original target. Resolve an attack against it using the same Attack Roll.","Magic, War, Chaos, Storms"
Guardian's Oath,II,Passive,—,"While adjacent to an ally, enemies suffer Disadvantage when attacking that ally if they could legally attack you instead.","Protection, Mercy, Valor, Love, Peace, Life"
Relentless Pursuit,II,Passive,—,"Whenever a creature disengages, retreats or moves away from you, increase your movement by 4 metres until the end of your next turn.","Hunt, Travel, Zeal, Blood, Vengeance, Freedom"
Pierce the Veil,II,Major Action,2 PotD,"Until the end of your next short or long rest, you can see invisible creatures, magical disguises and active illusions within 20 metres.","Light, Secrets, Magic, Wisdom, Knowledge"
Consecrated Ground,II,Major Action,2 PotD,"Create a 5m radius area of divine protection. Allies inside gain Advantage on Saving Throws against fear, curses, spirits, and spell effects.","Life, Light, Peace, Protection, Healing, Hearth"
Smoke and Mirrors,II,Major Action,1 PotD,Fill a small area with supernatural smoke. Creatures inside have Disadvantage on ranged attacks and Perception checks relying on sight.,"Deception, Shadow, Trickery, Secrets, Darkness"
Voice of Peace,II,Major Action,2 PotD,Creatures that can hear you must make a Wisdom Saving Throw. On a failure they cannot willingly make Attack Rolls until they are attacked or the scene changes.,"Peace, Mercy, Love, Order, Balance, Civilization"
Chain Reaction,II,Passive,—,"Whenever your attack Incapacitates or kills a creature, immediately move up to half your movement without spending an action/provoking opportunity attacks.","Chaos, Destruction, War, Wrath, Death"
Shadow Step,II,Move,1 PotD,"Instead of normal movement, you can consume your minor action and instantly step between two areas of dim light or darkness up to Far range.","Shadow, Darkness, Twilight, Travel, Trickery"
Storm's Wrath,II,Major Action,1 PotD,"Make a standard Attack Roll. On a success, add +3 to your margin over defence, and automatically trigger the Push effect (2 metres), regardless of the weapon being used.","Storms, Wrath, Sky, Destruction"
Vampiric Strike,II,Major Action,2 PotD,"Make a melee Attack Roll. If you successfully deal at least 1 Wound to a creature that has blood, you siphon their vitality, immediately healing 1 of your Wounds.","Blood, Death, Souls, Magic, Harvest"
Illusionary Double,II,Minor Action,1 PotD,"Create a perfect, intangible clone of yourself within Close range that lasts for 1 minute. It mimics your movements and can draw enemy aggro, forcing enemies to guess which target is real.","Deception, Trickery, Magic, Dreams"
Aegis of Light,II,Reaction,—,"When you or an ally within Near range is attacked, summon a blinding ward. Grant a +3 Defence Bonus against that single attack, potentially negating it entirely.","Light, Protection, Sun, Valor"
Beast Shape,II,Major Action,2 PotD,"Transform entirely into a Scale 1 beast for up to 1 hour. You gain their physical stats, movement speed, and natural weapons, while retaining your Intelligence, Wisdom, and Charisma. When using this feature you can not use your PotD","Beasts, Wilderness, Nature, Magic, Freedom"
Raise the Banner,II,Major Action,2 PotD,Allies within Near range ignore Fear and gain Advantage on their next save.,"Valor, War, Glory, Protection, Zeal"
World Walker,II,Major Action,2 PotD,Instantly cross any mundane obstacle under 20m without interacting with it.,"Travel, Time, Freedom"
Safety of the Gods,II,Major Action,2 PotD,Create a 5m sacred area where Fatigue cannot increase for one scene.,"Hearth, Peace, Protection, Life, Renewal"
Name the Guilty,II,Major Action,2 PotD,Know whether one visible creature knowingly committed the crime being discussed.,"Justice, Wisdom, Knowledge, Law, Secrets"
Forge Destiny,II,Major Action,2 PotD,Permanently improve a mundane crafted item with one narrative quality.,"Craft, Creation, Metal, Fire, Knowledge"
Tidecaller,II,Major Action,2 PotD,Move or calm a large body of water within Near range.,"Water, Storms, Nature, Balance, Oceans"
Sacred Oath,II,Special,—,"Swear an oath. While pursuing it, regain 1 PotD the first time each day you suffer a Wound.","Zeal, Justice, Valor, Fate, Protection"
Divine Messenger,II,Major Action,1 PotD,Send a spoken message across any distance to someone you have met.,"Air, Knowledge, Sky, Magic"
Threads Revealed,II,Major Action,2 PotD,Ask the GM one question about the immediate future. Answer is symbolic but truthful.,"Fate, Time, Wisdom, Secrets, Fortune"
Heroic Rescue,II,Reaction,2 PotD,Instantly move adjacent to an ally suffering a Wound.,"Protection, Valor, Strength, Love, War"
Living Bridge,II,Major Action,2 PotD,"Shape stone, roots or ice into a stable crossing.","Earth, Nature, Creation, Water, Craft"
Feast of Plenty,II,Major Action,2 PotD,Create enough wholesome food for twenty people.,"Harvest, Hearth, Life, Creation, Renewal"
Glacial Grip,II,Major Action,1 PotD,Freeze the ground beneath a target within Near range. The target must pass a Strength Saving Throw or have their movement speed reduced to 0 until the end of their next turn.,"Frost, Water, Earth, Law"
Retributive Thorns,II,Passive,—,"Whenever a creature hits you with a melee weapon attack, they suffer an automatic Bruised wound from sharp spectral growths.","Nature, Wilderness, Vengeance, Blood, Wrath"
Tongue of Babel,II,Minor Action,1 PotD,"For the next hour, you can perfectly speak, read, and understand any spoken or written language or dialect you encounter.","Knowledge, Civilization, Magic, Secrets, Trade"
Gravity Anchor,II,Major Action,2 PotD,"Create a heavy gravitational field in a 5m radius area. Flying creatures within the area are immediately forced to the ground, and jumping is impossible inside it.","Earth, Order, Void, Sky"
Solar Flare,II,Major Action,1 PotD,"Unleash a burst of blinding sunlight. All enemies within 5 metres must pass a Dexterity Saving Throw or be blinded, suffering Disadvantage on all Attack Rolls until your next turn.","Sun, Light, Destruction, Fire"
Spectral Hound,II,Minor Action,1 PotD,"Summon a spirit hound that lasts for one scene. It cannot attack, but it automatically tracks the scent of any creature you name, tracking them flawlessly across any terrain.","Hunt, Death, Moon, Spirit, Wilderness"
Golden Touch,II,Major Action,1 PotD,Touch a mundane object up to 1m squared. Permanently convert a portion of it into solid gold or precious gems worth up to a standard merchant's weekly income. The object changes back from gold after 24 hours. You can use this feature once per short rest.,"Wealth, Trade, Fortune, Luck, Craft"
Siren's Aria,II,Major Action,1 PotD,Sing a mesmerizing melody. Up to three targets within Near range must pass a Wisdom Saving Throw or become Charmed by you until they take damage or the scene ends. Charmed targets will step forward to shield you from attacks.,"Music, Beauty, Passion, Love, Deception"
Rejuvenating Spring,II,Major Action,2 PotD,"Channel life energy into the ground. A 5m radius area blooms with vibrant, breathtaking flora. Allies within the area instantly clear 1 level of Fatigue and heal one Bruised wound.","Youth, Growth, Renewal, Healing, Life, Beauty"
Abyssal Grasp,II,Major Action,2 PotD,Summon a patch of absolute zero void within Near range (3m radius). Light cannot penetrate it. Any creature starting its turn inside takes a Bruised wound and has its movement halved due to crushing gravity and cold.,"Void, Darkness, Shadow, Twilight, Ruin"
Permafrost Armor,II,Reaction,1 PotD,"When you or an adjacent ally are targeted by an attack, manifest a shield of dense black ice. Increase Defence Bonus by +4 against that attack. If the attack misses, the attacker's weapon or limbs are frozen, giving them Disadvantage on their next physical roll.","Frost, Protection, Will, Balance"
Sovereign Castle,II,Minor Action,2 PotD,"Exude an aura of undeniable authority. Until the end of the next round, any creature attempting to attack you directly must first pass a Wisdom Saving Throw. On a failure, they must choose a different target or waste their action.","Nobility, Glory, Wisdom, Law, Order"
Pack Alpha's Call,II,Major Action,1 PotD,Conjure a pack of spectral wolves to harry a target within Near range. The target is immediately Flanked and suffers Disadvantage on Dexterity Saving Throws. Any physical attack against the target deals +2 damage for the next 3 rounds.,"Beasts, Hunt, Spirit, Moon, Wilderness"
Somnambulist's Mirage,II,Major Action,1 PotD,"Project a dream-like illusion of a hazard (e.g., a chasm or wall of fire) up to 5m wide. Enemies who see it must pass a Wisdom Saving Throw or believe it is completely real, refusing to cross it or wasting actions trying to bypass it.","Dreams, Deception, Trickery, Shadow, Magic"
Abundant Harvest,II,Special,—,"Spend an hour blessing a farm, market, or community stockpile. For the next month, food production doubles, spoilage drops to zero, and any commercial transactions within the area yield 20% more profit.","Harvest, Growth, Wealth, Trade, Civilization"
Temporal Bind,II,Free (On Hit),3 PotD,"After successfully hitting a creature with a ranged or melee attack, freeze them in a localized time pocket until the end of your next round. The target cannot take any actions, move, or be harmed until the start of your next turn.","Time, Fate, Luck, Fortune, Will"
Abyssal Undertow,II,Major Action,1 PotD,Condense ambient moisture into a crushing undercurrent that sweeps through a 15m line. All affected creatures are pulled up to 10m toward you and must succeed on a Strength Saving Throw or be pinned Prone under crushing gravity and water weight.,"Oceans, Water, Storms, Strength, Travel, Void"
Elixir of Primality,II,Major Action,2 PotD,"Infuse a draft using your essence. A creature drinking this is cured of all non-magical diseases/poisons, and has their physical appearance and vigor restored to their absolute prime for 24 hours, removing all fatigue ad up to one wound.","Youth, Life, Healing, Renewal, Mercy"
Chaperone of Souls,II,Reaction,1 PotD,"When a living creature dies within Near range, capture its parting energy. Direct it to either instantly restore 1 Wound to an ally within Close range, or form a fleeting spiritual shield that grants an ally +3 Defence for 1 round.","Souls, Spirit, Death, Twilight, Balance"
Harmonious Cadence,II,Major Action,1 PotD,Play a soothing arrangement that pacifies aggressive impulses. All hostile creatures within 10 meters must pass a Wisdom Saving Throw vs DC-5 or lower their weapons. Fighting ceases immediately unless a creature is directly attacked.,"Music, Passion, Love, Peace, Civilization"
Gilded Merchant's Guild,II,Passive,—,"You possess supernatural commercial luck. You can always find a willing buyer for any item, acquire goods at a 25% discount.","Wealth, Trade, Fortune, Luck, Nobility"
Font of Innovation,II,Major Action,1 PotD per Hour,"Channel a brilliant flash of architectural or blacksmithing inspiration. For the next hour, you and any allies assisting you work at 5x normal speed, use half the required raw materials, and produce masterwork-quality tools or defenses.","Craft, Creation, Fire, Sun, Knowledge"
Glacial Tundra,II,Major Action,2 PotD,"Flash-freeze a massive body of water or a 15-meter area of land. The surface becomes slick, treacherous sheet ice. Creatures moving through it must pass a Dexterity Saving Throw or fall Prone, and any fire effects in the area are instantly snuffed out.","Frost, Oceans, Water, Nature, Wilderness"
Blight Strike,II,Free (On Hit),3 PotD,"When you hit an organic creature or plant monster, convert your weapon's impact into an organic rot. The target takes +3 damage, and their biological functions wither, rendering them unable to heal or regenerate any wounds until the end of combat.","Plague, Blood, Harvest, Ruin, Destruction"
Phantasmagoric Display,II,Major Action,2 PotD,"Unleash a kaleidoscopic explosion of shifting dreamscapes around you. All enemies facing you must make a Wisdom Saving Throw or become transfixed by the sublime beauty, losing their next Minor Action and suffering Disadvantage on attacks.","Beauty, Dreams, Deception, Trickery, Light"
Wildwoods Melody,II,Major Action,1 PotD,"Play a wild flute melody to invoke a surge of raw primeval energy. For the next hour, local non-sentient wildlife reverts to its energetic prime, plants grow exponentially to form dense cover, and tracking rolls against you suffer Disadvantage.","Youth, Growth, Moon, Beasts, Wilderness, Music"
Singularity Core,II,Major Action,2 PotD,Create a localized miniature gravity well at a spot you see within Near range. All loose items and enemies within 5m are yanked toward the center on a failed Strength save. This lasts for 5 minutes or until you dispel it. Do not let it grow to large,"Void, Darkness, Will, Destruction"
Hymn of the Radiant Dawn,II,Major Action,1 PotD,Sing a rousing song that channels blinding magnificence. All allies within 10 meters gain a +2 bonus their next(1) Attack Roll and are cured of the Blinded or Shaken conditions. Enemies looking at you suffer Disadvantage on attacks due to your radiant performance.,"Music, Beauty, Glory, Passion, Light"
Ethereal Lullaby,II,Major Action,1 PotD,"Perform a hauntingly beautiful melody that induces a peaceful, regenerative slumber. One willing or incapacitated creature falls into a deep trance for 30 minutes. Every time 1 PotD is used(30 mins), they heal one wound of any stage and age backward by one day.","Music, Beauty, Dreams, Youth, Spirit"
Void Bloom,II,Major Action,2 PotD,"Plant an otherworldly cosmic seed that rapidly erupts into a gravity-defying alien blossom. The blossom creates a 3m zone of zero-gravity. Allies within the zone are infused with youthful vitality, instantly purging any poisons and treating their next action as if they spent 1 less PotD.","Void, Growth, Youth, Creation"
Scholar's Memory,II,Passive,—,"Perfectly remember anything you have personally studied, read or witnessed.","Knowledge, Wisdom, Time, Civilization, Secrets"
Wind Riding,II,Major Action,3 PotD,"Ride the literal air currents around you, gaining a flying speed equal to your standard walking speed for the duration of the current combat encounter or scene.","Air, Freedom, Travel, Sky, Magic"
Volley of Heavens,II,Major Action,2 PotD,Fire a single arrow that magically splits into radiant duplicates mid-air. Make one Attack Roll and apply the result against up to three clustered targets within Medium range(+1 creature = +1 PotD.,"Hunt, War, Sky, Sun, Magic, Wrath"
Spellweaver's Ward,II,Reaction,2 PotD,"Manifest an instantaneous, shimmering arcane barrier that halves the final damage of one incoming magical attack targeting you or an adjacent ally.","Magic, Protection, Order, Void, Wisdom, Will"
Winds of Destiny,II,Major Action,3 PotD,"Summon a physical, glowing breeze that gently parts mundane(non magical) obstacles (like fog, smoke, or weak underbrush) and physically pulls you in the direction of a hidden objective or concealed door as the breeze brushes past you.","Travel, Fate, Wisdom, Air, Secrets, Fortune"
Arcane Pulse,II,Minor Action,3 PotD,"Emit a sensory radar pulse. For one round, you ignore all penalties for fighting invisible or heavily obscured enemies and can clearly see the outlines of magical traps within Close range.","Magic, Secrets, Void, Light, Knowledge"
Rooting Grasp,II,Major Action,3 PotD,Vines or stone erupt beneath a target within Medium range. The target must pass a Dexterity Saving Throw or become Immobilized until they spend a Major Action to physically break free.,"Nature, Earth, Growth, Law"
Elemental Burst,II,Major Action,3 PotD,Unleash a 5-meter radius explosion of your chosen element at a point within Far range. Enemies must pass a Dexterity save or take elemental damage according to the damage table.,"Storms, Fire, Frost, Magic, Destruction, Wrath"
Blink Step,II,Move,3 PotD,"Step through a tear in space, instantly teleporting to an unoccupied space you can clearly see within Medium range without triggering opportunity attacks or traps in between.","Travel, Void, Magic, Shadow, Freedom"
Soul Tether,II,Minor Action,1 PotD,"Link your lifeforce to an ally within Close range. For the next three rounds, whenever they take damage, you can choose to take half of that damage(rounded up) in their stead.","Souls, Spirit, Protection, Love, Blood"
Venomous Strike,II,Free (On Hit),2 PotD,"Imbue your weapon with potent toxins. Your successful attack inflicts a Poisoned condition in addition to its normal damage, causing the target to suffer Disadvantage on Constitution checks , it then makes a con save and if it fails it has disadvantage on saving throws until start of it's next turn","Plague, Nature, Death, Trickery"
Magnetic Repulsion,II,Reaction,3 PotD,"When targeted by a metallic projectile or a metal melee weapon, generate a sudden magnetic field that forces the attacker to reroll their Attack Roll and take the lower result.","Metal, Earth, Protection, Order"
Chorus of Courage,II,Major Action,4 PotD,Sing or shout a magical rallying cry. All allies within Medium range immediately recover from the Frightened or Charmed condition and gain resistance to their next incoming wound.,"Music, Valor, Glory, Zeal, Passion"
Fate Twisted,III,Reaction,3 PotD,"Force a creature that has just succeeded on an Attack Roll, Saving Throw or Ability Check to reroll the die. The new result must be used.","Fate, Luck, Fortune, Chaos, Trickery"
Curse of Misfortune,III,Minor Action,3 PotD,"Choose one creature you can see within distant range, the next success that creature rolls is instead treated as a failure. You can use this feature equal to your proficiency bonus per long rest.","Chaos, Fortune, Trickery, Vengeance, Shadow"
Backflash,III,Special,3 PotD,Once per long rest declare preparations your character made before arriving. The preparation must be plausible and cannot contradict established events. The GM decides the exact details but the preparation is always partially successful.,"Time, Secrets, Knowledge, Civilization, Deception"
I Know A Guy,III,Special,2 PotD,"Once per long rest, declare that you personally know an NPC relevant to the current problem. The NPC exists in the world and has a believable relationship with you. The GM determines their willingness and ability to help.","Civilization, Trade, Nobility, Wealth, Love, Travel"
Threads of Destiny,III,Reaction,3 PotD,"After any d20 is rolled but before narration begins, replace the die with a natural 10. This cannot affect another Threads of Destiny.","Fate, Order, Balance, Wisdom, Moon"
Destiny Refused,III,Passive,—,"Once per long rest, when you would die, instead remain at Broken. You immediately gain one complete turn before collapsing unconscious.","Fate, Will, Life, Death, Valor, Strength"
Divine Intervention,III,Major Action,All Remaining PotD,Call directly upon your divine parent. The GM narrates an intervention appropriate to their domains. This ability can never be relied upon to function identically twice.,Any Domain (Wildcard)
Miracle Worker,III,Major Action,3 PotD + 2 Fatigue,"Instantly heal one creature from Broken to Healthy, removing every wound. This cannot restore the dead. Gain 2 Fatigue after using this ability.","Healing, Life, Mercy, Love, Renewal, Peace"
Master Strategist,III,Passive,1 PotD,"At the beginning of every combat, before Initiative, reposition every willing ally up to half their movement. This movement ignores weapon reach attacks.","Wisdom, War, Order, Knowledge, Civilization"
Avatar of War,III,Passive,—,"While Unleashed, every successful attack you make counts as though it exceeded Defence by an additional 5 on the Damage Table.","War, Wrath, Valor, Strength, Glory, Vengeance"
Impossible Escape,III,Special,2 PotD,"Once per long rest, you and nearby allies automatically escape mundane imprisonment, restraints or pursuit through a narratively reasonable means determined jointly by you and the GM.","Freedom, Travel, Air, Trickery, Luck, Fortune"
Rewrite the Battlefield,III,Major Action,3 PotD,"Permanently reshape a major terrain feature within sight. Create cliffs, rivers, bridges, walls, sinkholes or similar structures appropriate to your domains.","Creation, Earth, Destruction, Magic, Ruin"
Legendary Reputation,III,Passive,—,Once per settlement declare that someone important already knows your name and deeds. The GM introduces an appropriate NPC whose attitude begins Friendly unless story circumstances make that impossible.,"Glory, Nobility, Civilization, Trade, Love, Wealth"
Divine Sacrifice,III,Reaction,4 PotD,"When an ally would suffer wounds, you instead suffer them. Reduce the Damage Table result by 5 before applying it to yourself.","Mercy, Protection, Love, Life, Blood, Valor"
Lord of Beasts,III,Major Action,3 PotD,"Every natural beast within a kilometer becomes temporarily friendly toward you unless magically compelled otherwise. They will assist however reasonably able, and may react to your calls if safe to do so.","Beasts, Nature, Wilderness, Hunt, Freedom, Growth"
Kingmaker,III,Special,3 PotD,"Once per long rest you can touch one willing character except for yourself, and this creature is naturally inclined to be supported by the public. This character has advantage on any checks it makes to convince groups of people (more than 5) that can understand it.","Civilization, Nobility, Law, Order, Glory, Wealth"
Walking Catastrophe,III,Passive,—,"While Unleashed, whenever you inflict 2 or more wounds with an attack, every adjacent creature must succeed on a Dexterity Saving Throw or become Prone from the devastation.","Destruction, Chaos, Wrath, Ruin, Earth"
Second Wind of Olympus,III,Free,3 PotD,Once per long rest immediately remove all Fatigue from yourself.,"Life, Renewal, Healing, Strength, Light, Sun"
Legendary Craftsman,III,Downtime,Full days worth,During downtime create a unique masterwork item with one permanent special property approved by the GM. Such items count as magical for the purposes of overcoming magic resistances.,"Craft, Creation, Metal, Earth, Fire, Wealth"
Deus Ex Machina,III,Special,All Remaining PotD,"Once per long rest introduce one plausible object, machine or artifact into the current scene that your group reasonably had access to beforehand. The GM determines its exact limitations.","Creation, Magic, Knowledge, Craft, Metal"
Chosen Battlefield,III,Passive,—,"At the beginning of combat you may move one piece of terrain, create one piece of light cover, or declare one environmental feature that has always existed.","War, Knowledge, Earth, Order, Protection"
Unyielding Legend,III,Passive,—,"While Broken, you ignore all penalties associated with being Broken until the end of your next turn. Afterwards you immediately fall unconscious unless healed.","Glory, Will, Valor, Strength, Zeal"
Borrowed Miracle,III,Major Action,3 PotD,Temporarily use one Tier I or Tier II ability possessed by another willing demigod within sight until the end of the scene.,"Magic, Spirit, Knowledge, Secrets, Fate"
Avatar of Nature,III,Major Action,3 PotD,"Animate the surrounding environment. Trees, roots, vines and wildlife hinder your enemies, causing all hostile creatures to treat the area as difficult terrain until the end of the encounter.","Nature, Growth, Beasts, Wilderness, Life"
Legendary Duel,III,Major Action,3 PotD,"Challenge one creature. Until one of you falls, attacks made by anyone else against either duelist, and any creatures the duelists attack except each other, suffer Disadvantage.","War, Justice, Valor, Law, Strength, Vengeance"
Rewrite Fate,III,Reaction,4 PotD,"After any creature rolls a natural 20, change it into a natural 1, or vice versa. This ability may only be used once per long rest.","Fate, Fortune, Luck, Chaos, Time"
The Last Stand,III,Free,All Remaining PotD,Immediately enter your Unleashed State without meeting its normal activation condition. At the end of the scene you automatically gain 3 Fatigue.,"Valor, Wrath, Zeal, War, Strength, Vengeance"
Sanctuary,III,Major Action,3 PotD,"Create a temporary Safe Space that lasts until dawn. While inside, creatures cannot gain Fatigue, and PotD may be restored by completing a Ritual there. Any enemies attempting to enter this space must succeed on a wisdom save against your DC+10.","Hearth, Peace, Protection, Life, Light, Magic"
Voice of the Gods,III,Major Action,3 PotD,"Speak with divine authority. Every creature capable of hearing you must succeed on a Wisdom Saving Throw or be unable to willingly interrupt, attack or speak over you until you finish your declaration.","Spirit, Law, Order, Justice, Nobility"
Architect of Civilization,III,Downtime,Full days worth,"During downtime, establish a permanent organization, guild, temple or settlement. It exists in the world thereafter and develops according to the campaign.","Civilization, Craft, Law, Order, Creation"
Echo Through Time,III,Special,3 PotD,"Once per long rest, ask the GM to describe a brief scene that occurred in your current location at any point in history. The vision is truthful but may omit context.","Time, Dreams, Knowledge, Secrets, Twilight"
Deny Death,III,Reaction,3 PotD,"Once per day, trigger this when you take a 4th Wound (Dead). You refuse to pass on. You remain at the Broken state instead, and the creature that struck you immediately suffers 2 Wounds as your divine blood lashes out in retribution.","Death, Life, Souls, Will, Vengeance, Blood"
Plague Bomb,III,Major Action,3 PotD,Unleash a terrifying wave of necrotic or toxic energy. All hostile creatures within Far range must pass a Constitution save or immediately gain 2 levels of Fatigue and a Bloodied wound.,"Plague, Ruin, Death, Destruction, Nature"
Master of Puppets,III,Major Action,3 PotD,"Target a Scale 1 or 2 mortal. They must pass a Wisdom save against your dc -5. On a failure, you take complete narrative and mechanical control of their actions and speech for the duration of the scene.","Will, Deception, Secrets, Blood, Magic"
Time Dilation,III,Special,3 PotD,"Activate at the start of your turn. You take two full, consecutive turns (Move, Major, Minor) before anyone else can act. At the end of your third turn, you immediately gain 2 levels of Fatigue.","Time, Freedom, Chaos, Will"
Rewrite Memory,III,Major Action,3 PotD,"Touch a mortal creature, they must make a Wisdom save. On a fail, you permanently and flawlessly alter their memory of the last 24 hours. They will fiercely rationalize any logical inconsistencies this creates in their mind.","Dreams, Secrets, Trickery, Wisdom, Deception"
Meteor Strike,III,Major Action,Combined 5,"Call down a devastating projectile targeting a Distant area. All creatures in a 10-meter radius must make a Dexterity Save. On a fail, they suffer 2 Wounds (ignoring Armor). On a success, they take 1 Wound. The terrain becomes difficult terrain.","Sky, Fire, Sun, Ruin, Destruction"
Unbreakable Vow,III,Major Action,—,"Forge a supernatural pact between 2 willing(to a degree) creatures. If either creature breaks the exact wording of the pact, they immediately drop to a Broken wound state, regardless of their Scale or current health.","Law, Order, Justice, Souls, Fate"
Winds of the worlds,III,Reaction,3 PotD,"When you or an ally are targeted by a ranged attack or projectile, create a localized vortex. The projectile is redirected at another target of your choice within range.","Storms, Air, Protection, Order"
Font of Vitality,III,Major Action,3 PotD,"Touch a creature to temporarily strip away the ravages of time, age, or magical decay. The target is restored to their prime physical state for the next 24 hours.","Youth, Life, Renewal, Time"
Erasure of Being,III,Major Action,4 PotD,"Target one non-magical object or mundane creature you can see. Your eyes go pitch black as the target is completely removed from existence, leaving no trace behind.","Void, Destruction, Secrets, Death"
Tsunami Wall,III,Major Action,3 PotD,"Create a massive, semi-solid wall of pressurized water. It provides full cover and pushes back any enemies that attempt to cross it with a force capable of knocking them Prone. This water moves over the battlefield(2 meters per round) and dissapates against large solid objects or after 20 meters.","Water, Earth, Protection, Chaos"
Abyssal Pressure,III,Passive,—,"Enemies within touch range of you feel as though they are at the bottom of the ocean. Their movement speed is halved, and they suffer disadvantage on all Strength-based checks.","Oceans, Strength, Ruin, Death"
Eternal Stasis,III,Major Action,3 PotD,"Encase one creature in unmelting, supernatural frost. The target is frozen in time and space, becoming incapacitated until they or an ally succeed on a Strength check against your divine DC + 5.","Frost, Time, Peace, Law"
Shroud of Nothingness,III,Special,2 PotD,"You extinguish all light within a specific area, creating a zone of total, magical darkness that cannot be pierced by non-divine senses.","Darkness, Shadow, Trickery, Deception"
Burning Heart,III,Passive,—,"When an ally you share a bond with is downed in combat, you immediately gain the Unleashed state for one round.","Passion, Love, Wrath, Zeal"
Captivating Presence,III,Major Action,2 PotD,You radiate an aura of such intense beauty that all creatures within sight must succeed on a Wisdom save or be unable to target you with harmful actions for the remainder of the scene or until you target them with an attack first.,"Beauty, Love, Peace, Nobility"
Song of the Spheres,III,Major Action,1 PotD,"Hum or whistle a melody that aligns the local reality. As long as you are capable of keeping the tune of your melody, you and all creatures within close range move through the world as if by divine ordinance. You have advantage on stealth checks, you can often find doors being held open, vehicles in conveniant places, and advantage on any checks to keep up your (non combat)momentum.","Music, Spirit, Balance, Creation"
Reaper’s Bounty,III,Major Action,4 PotD,"You draw the life energy out of a defeated enemy or withered plant, converting it into a potent essence that heals you or an ally for 2 Wounds and restores 1 PotD.","Harvest, Growth, Nature, Death"
Primordial Avatar,III,Free,—,"Requirement: Must be in your Unleashed State. You become a pure elemental manifestation of your primary or secondary domain if it matches one of the required domains. Gain total immunity to that element's damage, your attacks deal pure elemental damage, and you can move freely through related terrain (e.g., swimming through earth, walking on air).","Fire, Water, Earth, Air, Frost, Storms"
Wings of the Divine,III,Major Action,3 PotD,"Sprout majestic, tangible wings granting a flying speed triple your walking speed and perfect maneuverability for the duration of a combat encounter or one full hour of travel.","Sky, Glory, Light, Freedom, Travel, Nobility"
Seeking Doom,III,Major Action,5 PotD,"Fire a projectile that aggressively tracks a specific target around corners and heavy cover. This attack ignores all cover bonuses, does not require line of sight, and automatically inflicts a Broken wound on a successful hit.","Hunt, Death, Vengeance, Magic, Fate, Ruin"
Reality Tear,III,Major Action,5 PotD,Rip a hole in reality within Medium range. All creatures within 10 meters must pass a Constitution save or be pulled 5 meters toward the center. All other active magical effects in the area are immediately dispelled.,"Magic, Void, Chaos, Destruction, Strength"
Defy the Grave,III,Reaction,3 PotD,"When an attack would inflict a fatal wound, you instead drop to the Broken state instead and blind the attacker with a flash of life energy. Can be used once per full rest","Life, Souls, Healing, Renewal, Light, Protection"
Seismic Shift,III,Major Action,5 PotD,"Create a massive localized earthquake. All structures within Far range take heavy structural damage, and all grounded creatures in the area must pass a Dexterity save or fall Prone and suffer a wound from the violent tremors.","Earth, Chaos, Ruin, Destruction, Wrath, Nature"
Dominate Will,III,Major Action,4 PotD,"Force a non-divine creature to pass a Wisdom Saving Throw. On a failure, you take complete control of their actions for one round. They will not perform actions that guarantee their own immediate death.","Will, Deception, Secrets, Law, Trickery"
